Date Decided,Citation,Appellants,Respondents,Case Note


























































2022-08-08 (Page 69 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 70 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 71 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 72 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 73 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 74 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 75 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 76 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 77 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 78 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 79 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 80 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 81 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 82 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 83 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 84 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 85 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 86 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 87 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 88 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 89 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 90 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 91 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 92 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 93 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 94 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 95 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 96 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 97 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 98 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 99 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 100 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 101 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 102 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 103 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 104 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 105 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 106 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 107 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 108 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 109 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 110 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 111 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 112 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                 Source : The Unreported Judgments

























































































2022-08-08 (Page 113 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University",2022-08-08,"                                                                                Source : The Unreported Judgments

























































































2022-08-08 (Page 1 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                Source : The Unreported Judgments

























































































2022-08-08 (Page 2 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                Source : The Unreported Judgments

























































































2022-08-08 (Page 3 of 113)                  MANU/SC/0325/2010                          OP Jindal Global University                                                                                Source : The Unreported Judgments



